اسم الفيلم,تاريخ العرض,تصنيف الفيلم,مدة الفيلم (دقيقة),ملخص,تمثيل,تأليف,إنتاج,تصوير,مونتاج,ديكور,ملابس,موسيقى,إخراج,توزيع
الندم,1978,nan,110,ياسمين عمل مصنع اعجب مهندس رءوف عمل مصنع شعر ٱتفق ثري عجوز دمنهوري قيام نظافه منزل مبلغ مال ساعد مواجهه عبء حياه جمع مصنع منزل دمنهوري دام تلف ولي مصنع امر اد فصل مفترق طريق عرف رءوف دعا ٱبن دمنهوري عرض زواج لٰكن اهمل عرض تولي ابو حلو طمح اخر زواج لٰكن صد منع قدم دمنهوري عرض جيد زوج ياسمين لٰكن رفض ٱعترف حب رءوف وصل روءف ابو حلو ابلغ رءوف حقيقه ياسمين طرد دمنهوري فارق حياه شده حزن,"فريد شوقي,نورا,مصطفى فهمي,عبدالمنعم إبراهيم,أسامة عباس,إبراهيم عبدالرازق,نعيمة الصغير,أحمد حسين,صالح الإسكندراني,عزة فؤاد,سهير زكي,طوسون معتمد",فيصل ندا,"أفلام جمال التابعي,جمال التابعي,غطاس قلتة,محمود التهامى","جمال التابعي,محمد ممتاز,أبية فريد","صلاح عبدالرازق,صلاح خليل,ليلى فهمي","نهاد بهجت,فادي كامل,محمد كامل",فوزية حجازي,جمال سلامة,"نادر جلال,أمالي بهنسي,هاني لاشين",أفلام جمال التابعي
ليلة لا تنسى,1978,nan,95,تعرض خطيب ليلي حادث قتل تقرر سفر اخ سامي اسوان شاهد ليلي شرف منزل جريمه قتل سرع قاتل هرب اخبر ليلي سامي شاهد جريمه قتل سامي خطر بوليس سعي عصابه ٱختطاف ليلي شاهد وحيد طريق رد سمير شكا ليلي دار خاص دعا سمير مكلف حارس اساس شاهد وحيد موضوع انشا علاقه موده ليلي سمير عرف رجل عصابه حاول اقناع سمير عصابه سمير محاوله تهريب ليلي هرب ٱكتشف عصابه حاول قتل محاوله فشل نظر وصول بوليس مناسب,"ميرفت أمين,حسن يوسف,نجوى فؤاد,عماد حمدي,يوسف فخر الدين,فكري أباظة,نبيل بدر,لطفي منصور,عبدالغني النجدي,شوقي بركة,أحمد مرسي,علي عز الدين,ابراهيم صبح,بهاء عبدالحميد,اليكس,محمد الشلقاني",صبري عزت,"الشرق الأوسط للإنتاج السينمائي,عبدالحكيم أحمد,سمير عبدالجواد",علي خير الله,"فتحي داود,ليلى السايس,عنايات السايس","معامل هيئة السينما,الهيئة المصرية العامة للسينما (والمسرح والموسيقي)",nan,"فؤاد الظاهري,هاني مهنى","حسن يوسف,مصطفى جمال الدين,عدلي يوسف",الشرق الأوسط
كلهم في النار,1978,nan,100,حكم معلم خضر سوق اسمنت ٱبن وحيد ذكي احب عادل دبر معلم جريمه قتل تقرر ذكي ٱنتقام ٱشتد ساعد راغب عون والد وكاله حاول قرب لٰكن صد تحدث معركه وكاله ٱشتري معلم خضر نتيجه مشاجره شلل نصفي والد لذيذ تقرر وكاله نافس وكاله راغب ٱنفصل وكاله اب معلم خضر توافق زواج ٱنتقم عادل اب ٱتفق عمل سوي ٱتفق راغب توفيق امين مخزن دواء بيع صفقه بنسلين حساب توفيق حرق مخزن سمع ذكي حوار الداءر ٱستيلاء صفقه حساب باع راغب ٱحتفظ علبه اصاب ٱبن راغب زوجه اخبر طبيب حاجه حقن بنسلين ساوم ذكي صفقه دفع ثمن حق رغم موافقه راغب ٱستطاع منح طفل حياه فارق حياه حقن,"فريد شوقي,سهير رمزي,مصطفى فهمي,محمود قابيل,مريم فخر الدين,حسين الشربيني,نجوى صالح,أحمد أباظة,علي عزب,كوثر رمزي,سعيدة جلال,حمادة الحبروك,عبدالحميد أنيس,أحمد حسين,سعيد حسنى,نعيم عيسى,مختار السيد,علي المعاون","حسين مؤنس,صبري عزت","أفلام نهضة مصر (والى السيد),والي السيد,محمد الجاك,سيد توفيق","إبراهيم صالح,مكرم سالم,عبدالحميد عمر","فكري رستم,عادل شكري,طلعت فيظي",nan,nan,ميشيل المصري,"أحمد السبعاوي,محمد مفتاح,صابر سعد",أفلام نهضة مصر (والى السيد)
إمرأة بلا قلب,1978,nan,-,سهير خارج وفاه زوجهاوتلتقي حامي فاطمه ٱستقبل ٱستقبال اراي وضع سهير مولود وهم فاطمه مولود مات اراد ٱستيلاء ميراث ٱبن ذٰلك مساعد فتاه اخرس لفت تقرر ارشد سهير مكان ٱبن ٱكتشف مر منزل حامي فاطمه امر ٱنتحل شخص تقرر كشف امر محبوس منزل حاول علاء ٱبن عم زوج مساعد,"سعاد نصر,محمود عبدالعزيز,زكريا موافي,لبلبة,سمير غانم,سهير المرشدي,زوزو نبيل,فاتن فؤاد,ولاء فريد",يس إسماعيل يس,nan,nan,nan,nan,nan,nan,يس إسماعيل يس,nan
سلطانة الطرب,1978,nan,115,عمل زكي لاح بسيط ارض باشا مدح ٱرتبط قصه حب ٱبن محسن تزوج عرف باشا زواج مات محسن حادث سياره انجب زكي طفل باشا رفض ٱعتراف حفيد اخذ خدم طفل دعا زكي ٱبنه مات هجر قريه قاهره ٱحترف غناء ٱسم منيره مهدي ٱبنه حي عاش طفل متبن بيت باشا مدح,"صفية العمري,حسين الإمام,ناهد جبر,نبيلة السيد,منصور الجوهري,بدرية عبدالجواد,حللي محمد (محمد حللي),حسين عرعر,حسن شبل,رشاد عثمان,كتكوت الأمير,أنور محمد,عبدالعليم خطاب,محمد شوقي,نبيل نور الدين,ليلى فوزي,سمير صبري,محمود كامل,شريف صلاح الدين,حافظ أمين,محمود رشاد,سمير ولي الدين,إبراهيم قدري,قدرية كامل,ليلى يسري,سيف الله مختار,نبيل بدر,شريفة فاضل,فريد شوقي,سهير زكي,محمد الشويحي,مريم فخر الدين,حامد مرسي,بدر نوفل,عمر الحريري,فايزة عبدالجواد","حسين عثمان,محمد مصطفى سامي,حسن الإمام",nan,nan,nan,nan,nan,حسين جنيد,حسن الإمام,nan
أولاد الحلال,1978,nan,105,عاش عاطف المءلف موسيقي بنسيون سكن طالب نجوي هوه غناء جوار حاول تعرض صوت ٱنتبه شعر رضي مءلفاته تمزيق نجح نجوي جمع تقديم مجموع هاوي عرض منتج موسيقي اعجب بحث مءلفها,"صفاء أبو السعود,سمير غانم,يونس شلبي,حسن مصطفى,جورج سيدهم,نادية عزت,وحيد سيف,فاروق يوسف,أحمد نبيل,عدلي كاسب,نجاح الموجي,أحمد بدير,جمال إسماعيل,أحمد راتب,علي الشريف,حسين الشريف,حسن مصطفى علي,أحمد جمهورية,الطوخي توفيق,علي المعاون,عبدالمنعم النمر,أحمد أبو عبية",محمد أبو يوسف,"أفلام حسن الصيفى,سيد علي,إبراهيم زكي,أفلام جلال","محمد عمارة,فتحي إبراهيم","صلاح عبدالرازق,صلاح خليل,مارسيل صالح",عباس صابر,nan,"فؤاد الظاهري,حلمي بكر,حسين السيد,سمير الطائر,صفاء أبو السعود","حسن الصيفي,محمود الصيفي","أفلام البلجون (المؤسسة السعودية للسينما),أفلام جلال"
تحت سماء واحدة,1978,nan,-,ملخص,"فاضل خليل,فوزي مهدي,سمير القاضي,سعدون العبيدي,أفراح عباس,راسم الجميلي,سليم البصري,يعقوب القرة غولى,هناء محمد,قاسم الملاك,عبدالجبار عباس,فاطمة الربيعي,فوزية حسن,وداد سالم",صباح عطوان,nan,nan,nan,nan,nan,nan,nan,nan
رحلة مع الشيطان,1978,nan,-,ملخص,"فريد شوقي,ناهد شريف",nan,nan,nan,nan,nan,nan,nan,حسن الصيفي,nan
الجنة تحت قدميها,1978,nan,125,عمل زينب مصنع تربيه ٱبنه ٱبن حسين رفض زواج ايوب حاول صاحب مصنع ايقاع زينب لٰكن اراد قرر ايوب حرق مصنع سرقه صاحب قتل نجح جريمه شخص غني ٱتهم زينب جريمه سجن كبر حسين محامي عمل خياط ري ثراء وسيله حل هرب زينب سجن ٱلتقي ولد بحث دليل براءه خطاب خبا شقيق احمد طفل,"فريد شوقي,فردوس عبدالحميد,سمير صبري,لبلبة,يسرا,ليلى حمادة,سعيد صالح,حسين الإمام,نبيل نور الدين,نبيلة السيد,عبدالعليم خطاب,شفيق جلال,كتكوت الأمير,حمادة سلطان,محمود رشاد,توفيق الكردي,أمير كدواني,محمود سهم (عمرو سهم)","زافييه دي مونتيبان,السيد بدير,حسن الإمام,عمر عبدالعزيز أمين","أفلام حسن الإمام الجديدة,حسن الإمام,ابراهيم والى,محمد الجاك",إبراهيم صالح,فكري رستم,nan,nan,"مودي اﻹمام,حسين الإمام,كتكوت الأمير","حسن الإمام,مها المشري,هاني لاشين","الشركة اللبنانية للتجارة والاستثمار السينمائي (صبّاح إخوان),أفلام إيهاب الليثي"
أحلى أيام العمر,1978,nan,105,ممدوح محامي عاش مكتب زوجه حنان مكتب تردد عميل والي قرر اصطياد ممدوح بدا سهره اخبر والي ٱعتدي ٱختفي والي راوند عاود ظهور دعا حامل ٱضطرب دري فعل اخبر حاجه جوار منزل منزل دعا ممدوح حنان ٱبن عم زوجه حنان ٱكتشف كذب زوج منزل حاول ممدوح لحاق اصاب حادث نقل مستشفي حنان شعر والي حمل ممدوح ٱحتمل ٱعترف حنان حقيقه حامل زميل تخلي مات ولد مولود سعاده رفرف حياه زوج,"ناهد شريف,زهرة العلا,ميرفت أمين,سمير غانم,عماد حمدي,جورج سيدهم,وحيد سيف,محمد شوقي,سيف الله مختار,هياتم,محمد رفعت,الطوخي توفيق,لويس يوسف,علي عز الدين,حسين فهمي",فاروق صبري,عمرو الصيفي,"فتحي إبراهيم,محمد عمارة","فكري رستم,مارسيل صالح",nan,nan,nan,"حسن الصيفي,محمود الصيفي",أفلام صوت الفن (محمد عبدالوهاب - عبدالحليم حافظ - وحيد فريد)
أغنية الحب والموت,1978,nan,-,دار حدث فيلم سالم شاب ٱتهم قضيه قتل نتيجه حث والد اخذ ثار والد مرض سالم فشل كلوي اودع مستشفي سجن عمل دكتور مخطوب دكتور حال وقع حب سالم تنازل خطبه عاش سالم ٱشتد مرض سالم حتد جري عمليه جرح نجح توفي سالم نهر دكتور,"عزت العلايلي,حمدي أحمد,يوسف وهبي,فتحية علي,عبدالهادي أنور,ليلى طاهر,سمير صبري,فيفي سعيد,سمير رستم,ماجدة حمادة,أمل إبراهيم","مصطفى محرم,نجيب الكيلاني",nan,nan,nan,nan,nan,nan,حسن حافظ,nan
